FISCAL_YEAR,DISTRICT_ID,DISTRICT NAME, PROPTAX , FEDERAL , STATE , LOCAL , TOTAL ,MEMBER
2019-20,6475,Wild Rose," $5,919,289.00 "," $564,186.67 "," $1,500,820.97 "," $509,773.12 "," $8,494,069.76 ",577
2019-20,6482,Williams Bay," $9,332,010.00 "," $375,668.92 "," $692,784.80 "," $227,961.11 "," $10,628,424.83 ",609
2019-20,6545,Wilmot UHS," $13,323,535.00 "," $487,714.91 "," $5,533,085.80 "," $685,922.92 "," $20,030,258.63 ",1001
2019-20,6608,Winneconne Community," $9,778,198.00 "," $840,940.35 "," $9,006,763.54 "," $783,013.91 "," $20,408,915.80 ",1580
2019-20,6615,Winter," $3,490,984.00 "," $473,246.50 "," $739,120.09 "," $84,382.04 "," $4,787,732.63 ",277
2019-20,6678,Wisconsin Dells," $19,472,376.00 "," $1,569,273.59 "," $4,653,899.53 "," $1,266,137.89 "," $26,961,687.01 ",1795
2019-20,469,Wisconsin Heights," $8,138,484.00 "," $519,559.74 "," $3,130,930.98 "," $569,649.40 "," $12,358,624.12 ",806
2019-20,6685,Wisconsin Rapids," $24,463,682.00 "," $4,975,584.69 "," $43,854,282.89 "," $1,739,681.26 "," $75,033,230.84 ",5214
2019-20,6692,Wittenberg-Birnamwood," $4,973,582.00 "," $919,593.20 "," $8,456,416.38 "," $717,617.46 "," $15,067,209.04 ",1131
2019-20,6713,Wonewoc-Union Center," $2,352,598.00 "," $444,841.67 "," $2,830,443.53 "," $110,615.84 "," $5,738,499.04 ",387
2019-20,6720,Woodruff J1," $5,265,672.00 "," $365,505.74 "," $1,420,761.96 "," $174,616.84 "," $7,226,556.54 ",437
2019-20,6734,Wrightstown Community," $6,340,961.00 "," $768,594.96 "," $9,656,264.98 "," $1,096,076.76 "," $17,861,897.70 ",1387
2019-20,6748,Yorkville J2," $4,209,883.00 "," $98,385.16 "," $1,054,462.31 "," $247,127.43 "," $5,609,857.90 ",336
2018-19,7,Abbotsford," $2,113,688.00 "," $906,123.08 "," $7,118,411.49 "," $312,462.93 "," $10,450,685.50 ",767
2018-19,14,Adams-Friendship Area," $11,491,676.00 "," $2,827,930.06 "," $8,572,807.13 "," $312,183.51 "," $23,204,596.70 ",1606
2018-19,63,Albany," $3,272,394.00 "," $289,511.39 "," $3,048,034.36 "," $328,287.31 "," $6,938,227.06 ",449
2018-19,70,Algoma," $3,306,914.00 "," $595,519.45 "," $5,345,443.60 "," $571,090.59 "," $9,818,967.64 ",750
2018-19,84,Alma," $2,411,123.00 "," $196,617.12 "," $1,054,167.59 "," $174,754.01 "," $3,836,661.72 ",223
2018-19,91,Alma Center," $2,511,007.00 "," $726,634.87 "," $5,206,864.11 "," $405,514.36 "," $8,850,020.34 ",569
2018-19,105,Almond-Bancroft," $1,744,105.00 "," $451,728.66 "," $4,121,632.23 "," $117,554.25 "," $6,435,020.14 ",452
2018-19,112,Altoona," $6,211,461.00 "," $1,019,392.71 "," $13,155,375.79 "," $872,320.81 "," $21,258,550.31 ",1517
2018-19,119,Amery," $8,967,470.00 "," $1,288,394.07 "," $12,011,510.50 "," $1,627,166.63 "," $23,894,541.20 ",1653
2018-19,140,Antigo," $8,335,034.00 "," $2,618,216.35 "," $18,710,883.80 "," $1,244,321.99 "," $30,908,456.14 ",2383
2018-19,147,Appleton Area," $68,347,217.00 "," $13,364,701.39 "," $112,247,373.40 "," $4,753,882.19 "," $198,713,174.00 ",15486
2018-19,154,Arcadia," $4,613,340.00 "," $1,330,805.33 "," $12,486,348.74 "," $341,257.52 "," $18,771,751.59 ",1324
2018-19,161,Argyle," $1,723,723.00 "," $303,539.05 "," $2,543,953.97 "," $167,137.39 "," $4,738,353.41 ",298
2018-19,2450,Arrowhead UHS," $18,528,241.00 "," $556,789.08 "," $7,043,608.47 "," $3,991,679.21 "," $30,120,317.76 ",2095
2018-19,170,Ashland," $6,659,035.00 "," $3,428,617.71 "," $20,549,757.89 "," $939,868.26 "," $31,577,278.86 ",2212
2018-19,182,Ashwaubenon," $16,466,315.00 "," $1,721,036.14 "," $9,637,443.63 "," $1,400,380.02 "," $29,225,174.79 ",2302
2018-19,196,Athens," $1,899,771.00 "," $542,687.10 "," $3,771,855.79 "," $297,024.96 "," $6,511,338.85 ",428
2018-19,203,Auburndale," $2,670,777.00 "," $665,219.49 "," $7,018,444.69 "," $636,361.99 "," $10,990,803.17 ",773
2018-19,217,Augusta," $3,844,129.00 "," $857,832.84 "," $4,824,876.06 "," $218,356.87 "," $9,745,194.77 ",609
2018-19,231,Baldwin-Woodville Area," $6,365,934.00 "," $881,424.11 "," $13,746,088.26 "," $1,618,310.52 "," $22,611,756.89 ",1712
2018-19,245,Bangor," $3,031,776.00 "," $611,580.20 "," $4,986,917.43 "," $278,180.17 "," $8,908,453.80 ",606
2018-19,280,Baraboo," $15,666,129.00 "," $2,444,061.27 "," $20,816,254.35 "," $2,353,935.68 "," $41,280,380.30 ",3031
2018-19,287,Barneveld," $2,721,639.00 "," $146,639.55 "," $3,355,228.88 "," $397,234.95 "," $6,620,742.38 ",413
2018-19,308,Barron Area," $5,175,764.00 "," $1,537,607.78 "," $14,038,116.32 "," $1,005,472.95 "," $21,756,961.05 ",1431
2018-19,315,Bayfield," $6,339,368.00 "," $3,050,976.49 "," $1,718,077.83 "," $192,669.44 "," $11,301,091.76 ",440
2018-19,336,Beaver Dam," $15,407,106.00 "," $2,794,108.20 "," $27,799,920.42 "," $1,870,881.59 "," $47,872,016.21 ",3497
2018-19,4263,Beecher-Dunbar-Pembine," $3,394,359.00 "," $311,029.96 "," $954,767.36 "," $161,813.73 "," $4,821,970.05 ",237
2018-19,350,Belleville," $5,865,867.00 "," $468,516.15 "," $6,553,699.66 "," $590,291.85 "," $13,478,374.66 ",960
2018-19,364,Belmont Community," $1,741,218.00 "," $391,881.26 "," $2,863,709.46 "," $255,623.48 "," $5,252,432.20 ",376
2018-19,413,Beloit," $17,125,036.00 "," $12,328,578.48 "," $76,187,573.72 "," $1,421,729.35 "," $107,062,917.60 ",7224
2018-19,422,Beloit Turner," $4,976,600.00 "," $1,095,982.72 "," $9,871,704.40 "," $705,388.75 "," $16,649,675.87 ",1202
2018-19,427,Benton," $1,285,892.00 "," $234,520.06 "," $2,252,107.34 "," $159,896.49 "," $3,932,415.89 ",235
2018-19,434,Berlin Area," $6,216,310.00 "," $1,877,430.18 "," $12,813,813.58 "," $499,328.11 "," $21,406,881.87 ",1631
2018-19,6013,Big Foot UHS," $7,960,445.00 "," $287,364.27 "," $936,814.72 "," $569,472.07 "," $9,754,096.06 ",499
2018-19,441,Birchwood," $3,614,827.00 "," $341,351.91 "," $723,757.81 "," $455,389.75 "," $5,135,326.47 ",206
2018-19,2240,Black Hawk," $1,539,881.00 "," $414,482.12 "," $3,419,760.14 "," $175,192.42 "," $5,549,315.68 ",416
2018-19,476,Black River Falls," $8,020,426.00 "," $2,313,466.83 "," $13,696,263.05 "," $889,320.75 "," $24,919,476.63 ",1756
2018-19,485,Blair-Taylor," $3,978,171.00 "," $578,318.62 "," $4,315,385.40 "," $359,887.07 "," $9,231,762.09 ",638
2018-19,497,Bloomer," $5,904,272.00 "," $729,529.47 "," $10,498,214.76 "," $493,570.87 "," $17,625,587.10 ",1284
2018-19,602,Bonduel," $4,481,181.00 "," $841,423.72 "," $5,585,590.66 "," $387,852.49 "," $11,296,047.87 ",843
2018-19,609,Boscobel," $3,096,780.00 "," $863,693.18 "," $8,058,069.65 "," $238,411.70 "," $12,256,954.53 ",819
2018-19,623,Bowler," $1,871,217.00 "," $1,247,495.89 "," $3,954,838.17 "," $85,355.13 "," $7,158,906.19 ",410
2018-19,637,Boyceville Community," $2,827,600.00 "," $676,553.82 "," $6,762,268.43 "," $304,434.65 "," $10,570,856.90 ",718
2018-19,657,Brighton #1," $994,037.00 "," $119,717.18 "," $422,251.01 "," $88,689.71 "," $1,624,694.90 ",114
2018-19,658,Brillion," $3,451,784.50 "," $573,005.55 "," $7,415,142.62 "," $922,446.80 "," $12,362,379.47 ",913
2018-19,665,Bristol #1," $4,379,299.00 "," $332,125.14 "," $4,424,130.64 "," $363,079.11 "," $9,498,633.89 ",729
2018-19,700,Brodhead," $3,681,195.00 "," $984,957.93 "," $8,286,067.62 "," $571,245.65 "," $13,523,466.20 ",1051
2018-19,721,Brown Deer," $12,658,376.00 "," $1,218,701.17 "," $12,710,147.02 "," $1,531,537.13 "," $28,118,761.32 ",1682
2018-19,735,Bruce," $2,897,844.00 "," $588,411.65 "," $3,386,846.54 "," $172,411.10 "," $7,045,513.29 ",489
2018-19,777,Burlington Area," $20,895,553.00 "," $2,221,624.50 "," $21,378,236.05 "," $2,441,600.21 "," $46,937,013.76 ",3387
2018-19,840,Butternut," $1,072,875.00 "," $254,960.38 "," $1,492,414.43 "," $494,381.29 "," $3,314,631.10 ",170
2018-19,870,Cadott Community," $4,733,101.00 "," $684,149.51 "," $7,702,222.49 "," $306,497.71 "," $13,425,970.71 ",868
2018-19,882,Cambria-Friesland," $2,649,853.00 "," $490,926.83 "," $3,114,436.48 "," $384,369.26 "," $6,639,585.57 ",392
2018-19,896,Cambridge," $6,993,658.00 "," $687,964.37 "," $4,841,644.79 "," $691,288.18 "," $13,214,555.34 ",906
2018-19,903,Cameron," $4,014,915.00 "," $835,568.19 "," $8,466,746.43 "," $441,076.82 "," $13,758,306.44 ",940
2018-19,910,Campbellsport," $9,680,360.00 "," $881,336.73 "," $8,382,514.80 "," $770,250.92 "," $19,714,462.45 ",1367
2018-19,980,Cashton," $2,203,374.00 "," $842,579.92 "," $5,246,298.83 "," $253,950.73 "," $8,546,203.48 ",581
2018-19,994,Cassville," $1,909,313.00 "," $279,821.45 "," $1,712,062.08 "," $322,082.84 "," $4,223,279.37 ",237
2018-19,1029,Cedar Grove-Belgium Area," $5,611,159.00 "," $512,573.12 "," $7,043,920.98 "," $717,186.20 "," $13,884,839.30 ",1037
2018-19,1015,Cedarburg," $22,227,800.00 "," $803,242.89 "," $12,492,786.53 "," $2,036,412.32 "," $37,560,241.74 ",2976
2018-19,5054,Central/Westosha UHS," $8,488,713.00 "," $377,491.26 "," $6,682,824.06 "," $911,709.71 "," $16,460,738.03 ",1166
2018-19,1071,Chequamegon," $6,604,756.00 "," $1,125,302.76 "," $3,377,565.23 "," $315,350.65 "," $11,422,974.64 ",795
2018-19,1080,Chetek-Weyerhaeuser," $10,622,509.00 "," $930,866.42 "," $3,950,399.15 "," $895,531.46 "," $16,399,306.03 ",1042
2018-19,1085,Chilton," $5,971,099.00 "," $713,313.78 "," $8,484,172.82 "," $1,214,384.62 "," $16,382,970.22 ",1068
2018-19,1092,Chippewa Falls Area," $26,543,397.00 "," $4,190,598.82 "," $35,871,369.67 "," $2,854,262.14 "," $69,459,627.63 ",5236
2018-19,1120,Clayton," $1,312,384.00 "," $387,426.92 "," $3,312,279.65 "," $169,917.05 "," $5,182,007.62 ",318
2018-19,1127,Clear Lake," $2,148,194.00 "," $475,860.03 "," $6,084,785.36 "," $389,158.69 "," $9,097,998.08 ",625
2018-19,1134,Clinton Community," $5,041,747.00 "," $736,544.93 "," $8,772,155.09 "," $585,269.16 "," $15,135,716.18 ",1020
2018-19,1141,Clintonville," $6,990,837.00 "," $1,264,311.99 "," $11,360,949.11 "," $1,065,359.86 "," $20,681,457.96 ",1310
2018-19,1155,Cochrane-Fountain City," $3,689,918.00 "," $498,351.50 "," $4,523,722.91 "," $360,970.26 "," $9,072,962.67 ",598
2018-19,1162,Colby," $3,221,990.00 "," $905,866.93 "," $8,590,525.21 "," $347,332.94 "," $13,065,715.08 ",1008
2018-19,1169,Coleman," $4,795,811.00 "," $597,661.42 "," $4,314,300.96 "," $362,762.85 "," $10,070,536.23 ",718
2018-19,1176,Colfax," $2,806,655.00 "," $665,696.20 "," $6,516,286.38 "," $365,585.60 "," $10,354,223.18 ",826
2018-19,1183,Columbus," $6,817,340.00 "," $1,115,160.92 "," $8,554,157.97 "," $442,426.66 "," $16,929,085.55 ",1275
2018-19,1204,Cornell," $1,267,460.00 "," $568,509.16 "," $3,891,202.99 "," $205,896.68 "," $5,933,068.83 ",448
2018-19,1218,Crandon," $7,210,708.00 "," $1,981,594.30 "," $3,989,091.66 "," $255,970.57 "," $13,437,364.53 ",905
2018-19,1232,Crivitz," $6,509,532.00 "," $733,047.83 "," $1,927,170.95 "," $389,963.53 "," $9,559,714.31 ",770
2018-19,1246,Cuba City," $3,750,841.00 "," $562,301.56 "," $5,679,837.74 "," $521,328.80 "," $10,514,309.10 ",646
2018-19,1253,Cudahy," $10,651,841.00 "," $2,660,053.73 "," $22,179,159.36 "," $2,383,315.00 "," $37,874,369.09 ",2455
2018-19,1260,Cumberland," $7,508,068.00 "," $984,001.97 "," $5,306,640.16 "," $517,669.73 "," $14,316,379.86 ",926
2018-19,4970,D C Everest Area," $25,268,858.00 "," $3,876,450.37 "," $48,927,345.27 "," $6,924,330.86 "," $84,996,984.50 ",6019
2018-19,1295,Darlington Community," $3,992,533.00 "," $668,982.07 "," $6,806,168.51 "," $528,709.77 "," $11,996,393.35 ",841
2018-19,1421,De Soto Area," $3,788,606.00 "," $787,998.96 "," $3,488,589.12 "," $226,424.89 "," $8,291,618.97 ",552
2018-19,1309,Deerfield Community," $4,843,841.00 "," $411,737.48 "," $5,885,557.38 "," $1,143,368.48 "," $12,284,504.34 ",806
2018-19,1316,Deforest Area," $26,475,994.00 "," $1,744,167.24 "," $21,795,611.35 "," $2,528,845.05 "," $52,544,617.64 ",3754
2018-19,1380,Delavan-Darien," $15,421,095.00 "," $2,298,655.62 "," $15,043,386.29 "," $808,189.76 "," $33,571,326.67 ",2529
2018-19,1407,Denmark," $6,831,229.00 "," $796,372.13 "," $10,376,661.12 "," $1,131,529.30 "," $19,135,791.55 ",1454
2018-19,1414,Depere," $21,480,826.00 "," $1,794,383.03 "," $27,388,884.65 "," $2,129,823.73 "," $52,793,917.41 ",4068
2018-19,2744,Dodgeland," $3,745,827.00 "," $654,565.58 "," $7,286,962.88 "," $444,393.27 "," $12,131,748.73 ",796
2018-19,1428,Dodgeville," $8,141,811.00 "," $974,153.88 "," $9,588,787.42 "," $1,154,639.41 "," $19,859,391.71 ",1319
2018-19,1449,Dover #1," $678,244.00 "," $40,133.30 "," $738,168.68 "," $87,257.32 "," $1,543,803.30 ",97
2018-19,1491,Drummond," $4,214,114.00 "," $564,177.30 "," $1,223,687.69 "," $97,482.41 "," $6,099,461.40 ",387
2018-19,1499,Durand-Arkansaw," $5,083,646.00 "," $850,816.58 "," $7,103,519.93 "," $650,567.19 "," $13,688,549.70 ",981
2018-19,1540,East Troy Community," $14,818,621.00 "," $1,158,061.62 "," $6,785,316.46 "," $1,432,633.67 "," $24,194,632.75 ",1761
2018-19,1554,Eau Claire Area," $61,104,639.00 "," $9,138,308.72 "," $77,476,456.73 "," $6,020,778.38 "," $153,740,182.80 ",11800
2018-19,1561,Edgar," $2,540,025.00 "," $547,897.20 "," $5,855,441.68 "," $707,581.63 "," $9,650,945.51 ",592
2018-19,1568,Edgerton," $11,545,489.00 "," $1,295,100.82 "," $14,034,511.85 "," $1,792,410.82 "," $28,667,512.49 ",1979
2018-19,1582,Elcho," $5,340,466.00 "," $346,369.99 "," $857,261.96 "," $267,415.49 "," $6,811,513.44 ",306
2018-19,1600,Eleva-Strum," $3,023,700.00 "," $442,056.62 "," $5,623,074.65 "," $245,072.95 "," $9,333,904.22 ",631
2018-19,1645,Elk Mound Area," $3,012,408.00 "," $703,691.76 "," $9,746,296.90 "," $558,247.64 "," $14,020,644.30 ",1122
2018-19,1631,Elkhart Lake-Glenbeulah," $5,085,737.00 "," $275,888.93 "," $1,020,867.20 "," $727,113.05 "," $7,109,606.18 ",463
2018-19,1638,Elkhorn Area," $19,653,867.00 "," $1,840,146.21 "," $18,847,680.31 "," $1,768,796.83 "," $42,110,490.35 ",3092
2018-19,1659,Ellsworth Community," $9,611,716.00 "," $1,020,792.55 "," $12,588,713.53 "," $950,889.57 "," $24,172,111.65 ",1728
2018-19,714,Elmbrook," $81,513,071.95 "," $2,682,407.21 "," $13,151,538.32 "," $10,010,006.05 "," $107,357,023.50 ",7344
2018-19,1666,Elmwood," $2,242,653.00 "," $238,027.85 "," $2,938,796.84 "," $231,859.57 "," $5,651,337.26 ",329
2018-19,1687,Erin," $2,249,107.00 "," $141,361.17 "," $800,264.90 "," $266,843.49 "," $3,457,576.56 ",230
2018-19,1694,Evansville Community," $8,588,830.00 "," $957,639.28 "," $16,285,701.18 "," $1,193,229.56 "," $27,025,400.02 ",1816
2018-19,1729,Fall Creek," $3,410,120.00 "," $432,971.83 "," $6,164,557.58 "," $672,039.48 "," $10,679,688.89 ",787
2018-19,1736,Fall River," $2,288,084.00 "," $413,811.59 "," $3,935,802.31 "," $677,795.90 "," $7,315,493.80 ",524
2018-19,1813,Fennimore Community," $2,734,210.00 "," $809,495.52 "," $7,313,547.27 "," $414,857.70 "," $11,272,110.49 ",750
2018-19,5757,Flambeau," $2,997,123.00 "," $812,563.41 "," $5,217,531.81 "," $238,690.27 "," $9,265,908.49 ",639
2018-19,1855,Florence," $6,071,060.00 "," $593,969.83 "," $1,692,657.09 "," $384,526.71 "," $8,742,213.63 ",472
2018-19,1862,Fond Du Lac," $31,177,047.00 "," $7,728,783.80 "," $56,385,909.86 "," $5,169,653.59 "," $100,461,394.30 ",7517
2018-19,1870,Fontana J8," $3,456,738.00 "," $183,019.35 "," $382,384.27 "," $99,526.16 "," $4,121,667.78 ",162
2018-19,1883,Fort Atkinson," $15,937,556.00 "," $2,112,458.09 "," $21,057,710.60 "," $1,538,383.60 "," $40,646,108.29 ",2825
2018-19,1890,Fox Point J2," $10,167,096.00 "," $409,416.68 "," $1,246,703.49 "," $496,721.61 "," $12,319,937.78 ",673
2018-19,1900,Franklin Public," $34,189,665.00 "," $2,004,563.10 "," $23,526,242.38 "," $4,684,078.06 "," $64,404,548.54 ",4318
2018-19,1939,Frederic," $2,182,059.00 "," $557,246.74 "," $4,097,139.71 "," $549,833.86 "," $7,386,279.31 ",535
2018-19,1953,Freedom Area," $6,249,466.00 "," $742,787.53 "," $11,480,987.05 "," $627,252.46 "," $19,100,493.04 ",1674
2018-19,2009,Gale-Ettrick-Trempealeau," $7,168,931.00 "," $743,763.22 "," $11,455,029.98 "," $960,245.89 "," $20,327,970.09 ",1473
2018-19,2044,Geneva J4," $2,280,096.00 "," $82,301.61 "," $126,101.43 "," $93,151.89 "," $2,581,650.93 ",126
2018-19,2051,Genoa City J2," $3,050,284.00 "," $227,624.16 "," $5,281,743.86 "," $357,566.19 "," $8,917,218.21 ",653
2018-19,2058,Germantown," $32,692,458.00 "," $1,531,014.01 "," $15,089,695.48 "," $2,782,952.27 "," $52,096,119.76 ",3944
2018-19,2114,Gibraltar Area," $9,616,293.00 "," $347,895.00 "," $1,352,030.59 "," $561,751.99 "," $11,877,970.58 ",525
2018-19,2128,Gillett," $2,361,067.00 "," $679,717.98 "," $5,100,964.25 "," $232,296.66 "," $8,374,045.89 ",607
2018-19,2135,Gilman," $2,832,014.00 "," $725,208.19 "," $3,070,869.92 "," $223,351.43 "," $6,851,443.54 ",386
2018-19,2142,Gilmanton," $1,145,476.00 "," $176,856.92 "," $1,247,822.14 "," $58,460.50 "," $2,628,615.56 ",175
2018-19,2184,Glendale-River Hills," $12,340,228.00 "," $818,567.29 "," $2,207,800.88 "," $1,641,666.46 "," $17,008,262.63 ",978
2018-19,2198,Glenwood City," $2,543,201.00 "," $455,468.29 "," $6,679,713.48 "," $399,222.70 "," $10,077,605.47 ",721
2018-19,2212,Goodman-Armstrong," $1,716,060.00 "," $182,893.16 "," $405,822.11 "," $71,346.83 "," $2,376,122.10 ",115
2018-19,2217,Grafton," $18,437,926.00 "," $923,065.18 "," $8,985,296.04 "," $1,949,648.92 "," $30,295,936.14 ",2025
2018-19,2226,Granton Area," $1,208,359.00 "," $529,472.13 "," $2,146,407.67 "," $224,175.67 "," $4,108,414.47 ",240
2018-19,2233,Grantsburg," $2,784,350.00 "," $970,654.42 "," $6,829,702.14 "," $341,336.95 "," $10,926,043.51 ",880
2018-19,2289,Green Bay Area," $89,180,561.00 "," $28,757,280.19 "," $194,060,116.40 "," $8,661,272.79 "," $320,659,230.30 ",22325
2018-19,2310,Green Lake," $4,098,644.00 "," $165,748.65 "," $449,935.83 "," $284,992.59 "," $4,999,321.07 ",258
2018-19,2296,Greendale," $14,389,898.00 "," $1,626,882.12 "," $16,857,194.50 "," $2,457,817.77 "," $35,331,792.39 ",2537
2018-19,2303,Greenfield," $20,990,137.00 "," $2,700,679.53 "," $22,387,101.68 "," $4,165,224.78 "," $50,243,142.99 ",3522
2018-19,2394,Greenwood," $2,342,194.00 "," $584,396.21 "," $3,567,060.10 "," $175,952.96 "," $6,669,603.27 ",391
2018-19,2415,Gresham," $1,750,975.00 "," $449,773.46 "," $2,399,042.85 "," $106,858.91 "," $4,706,650.22 ",257
2018-19,2420,Hamilton," $31,456,517.00 "," $1,571,635.33 "," $26,691,346.23 "," $6,222,112.94 "," $65,941,611.50 ",4878
2018-19,2443,Hartford J1," $10,117,911.00 "," $1,213,122.10 "," $14,553,163.89 "," $931,529.28 "," $26,815,726.27 ",2042
2018-19,2436,Hartford UHS," $11,535,623.00 "," $569,572.49 "," $7,237,176.89 "," $1,659,232.40 "," $21,001,604.78 ",1538
2018-19,2460,Hartland-Lakeside J3," $9,003,267.00 "," $554,525.95 "," $5,492,831.44 "," $678,314.53 "," $15,728,938.92 ",1284
2018-19,2478,Hayward Community," $18,463,860.00 "," $3,542,142.52 "," $3,716,958.70 "," $872,749.58 "," $26,595,710.80 ",1812
2018-19,2525,Herman-Neosho-Rubicon," $2,916,248.00 "," $260,995.92 "," $2,181,536.91 "," $168,573.37 "," $5,527,354.20 ",336
2018-19,2527,Highland," $1,372,727.00 "," $248,383.02 "," $3,102,711.89 "," $190,279.71 "," $4,914,101.62 ",316
2018-19,2534,Hilbert," $2,686,437.00 "," $312,280.90 "," $3,525,390.39 "," $398,990.35 "," $6,923,098.64 ",467
2018-19,2541,Hillsboro," $2,090,067.00 "," $1,119,318.25 "," $4,944,966.85 "," $259,182.01 "," $8,413,534.11 ",535
2018-19,2562,Holmen," $18,463,428.00 "," $2,500,631.65 "," $34,760,097.83 "," $3,995,543.36 "," $59,719,700.84 ",4165
2018-19,2570,Holy Hill Area," $5,472,682.00 "," $188,021.57 "," $1,795,329.68 "," $411,867.08 "," $7,867,900.33 ",524
2018-19,2576,Horicon," $4,529,454.00 "," $610,124.84 "," $5,838,515.71 "," $441,151.58 "," $11,419,246.13 ",808
2018-19,2583,Hortonville," $17,989,201.00 "," $1,451,916.33 "," $25,905,061.20 "," $1,589,666.78 "," $46,935,845.31 ",3956
2018-19,2605,Howards Grove," $4,291,843.00 "," $369,811.32 "," $5,792,943.14 "," $630,968.41 "," $11,085,565.87 ",855
2018-19,2604,Howard-Suamico," $26,570,826.00 "," $2,868,376.26 "," $38,889,178.69 "," $3,995,783.28 "," $72,324,164.23 ",5711
2018-19,2611,Hudson," $44,455,692.00 "," $2,352,251.25 "," $30,530,249.45 "," $4,690,419.53 "," $82,028,612.23 ",5642
2018-19,2618,Hurley," $3,179,770.00 "," $540,153.23 "," $3,803,960.55 "," $426,958.61 "," $7,950,842.39 ",549
2018-19,2625,Hustisford," $2,897,568.00 "," $407,165.42 "," $2,539,222.98 "," $234,486.05 "," $6,078,442.45 ",434
2018-19,2632,Independence," $1,952,676.00 "," $510,432.51 "," $3,691,686.13 "," $155,114.45 "," $6,309,909.09 ",410
2018-19,2639,Iola-Scandinavia," $4,347,844.00 "," $459,332.04 "," $4,798,737.00 "," $481,322.51 "," $10,087,235.55 ",678
2018-19,2646,Iowa-Grant," $3,059,027.00 "," $654,095.23 "," $7,286,547.15 "," $367,968.74 "," $11,367,638.12 ",719
2018-19,2660,Ithaca," $1,509,344.50 "," $371,756.04 "," $3,121,144.33 "," $188,872.23 "," $5,191,117.10 ",307
2018-19,2695,Janesville," $37,521,964.00 "," $11,977,287.37 "," $79,201,498.52 "," $6,683,069.09 "," $135,383,819.00 ",9690
2018-19,2702,Jefferson," $11,396,392.00 "," $1,645,745.58 "," $14,922,102.74 "," $2,181,299.14 "," $30,145,539.46 ",1927
2018-19,2730,Johnson Creek," $4,924,079.00 "," $408,450.38 "," $5,299,471.79 "," $494,016.65 "," $11,126,017.82 ",758
2018-19,2737,Juda," $1,585,750.00 "," $264,952.75 "," $2,107,500.20 "," $145,306.34 "," $4,103,509.29 ",244
2018-19,2758,Kaukauna Area," $19,825,198.00 "," $2,124,582.44 "," $34,488,480.04 "," $2,087,627.06 "," $58,525,887.54 ",4721
2018-19,2793,Kenosha," $88,384,590.00 "," $25,303,990.84 "," $181,725,503.00 "," $7,131,649.07 "," $302,545,732.90 ",21566
2018-19,1376,Kettle Moraine," $37,091,306.00 "," $1,871,975.60 "," $9,998,893.08 "," $2,878,535.57 "," $51,840,710.25 ",3666
2018-19,2800,Kewaskum," $11,537,057.00 "," $998,491.42 "," $10,555,496.39 "," $1,250,098.54 "," $24,341,143.35 ",1858
2018-19,2814,Kewaunee," $5,634,418.00 "," $624,290.96 "," $6,943,478.19 "," $500,723.59 "," $13,702,910.74 ",1013
2018-19,5960,Kickapoo Area," $1,716,778.00 "," $682,421.10 "," $4,267,238.94 "," $392,213.28 "," $7,058,651.32 ",469
2018-19,2828,Kiel Area," $6,788,348.86 "," $709,878.08 "," $9,023,718.33 "," $1,388,300.73 "," $17,910,246.00 ",1318
2018-19,2835,Kimberly Area," $15,239,861.00 "," $2,054,065.90 "," $38,873,483.48 "," $3,224,636.59 "," $59,392,046.97 ",4837
2018-19,2842,Kohler," $5,814,812.00 "," $164,716.66 "," $1,128,033.55 "," $862,045.41 "," $7,969,607.62 ",500
2018-19,1848,Lac Du Flambeau #1," $6,469,132.00 "," $7,545,182.84 "," $2,518,323.13 "," $305,828.69 "," $16,838,466.66 ",555
2018-19,2849,Lacrosse," $50,051,998.00 "," $6,959,518.44 "," $42,370,464.37 "," $4,001,788.39 "," $103,383,769.20 ",6726
2018-19,2856,Ladysmith," $3,658,658.00 "," $1,071,379.59 "," $7,879,528.94 "," $305,054.33 "," $12,914,620.86 ",795
2018-19,2863,Lafarge," $1,096,397.00 "," $546,203.76 "," $2,326,021.29 "," $103,708.01 "," $4,072,330.06 ",255
2018-19,3862,Lake Country," $3,981,319.00 "," $219,261.86 "," $560,532.75 "," $473,084.32 "," $5,234,197.93 ",362
2018-19,2885,Lake Geneva J1," $17,790,882.00 "," $1,459,262.81 "," $7,521,569.26 "," $907,594.23 "," $27,679,308.30 ",1881
2018-19,2884,Lake Geneva-Genoa UHS," $17,218,767.00 "," $847,379.58 "," $3,869,431.06 "," $1,308,311.63 "," $23,243,889.27 ",1324
2018-19,2891,Lake Holcombe," $3,703,212.00 "," $478,216.19 "," $1,019,363.25 "," $136,859.06 "," $5,337,650.50 ",311
2018-19,2898,Lake Mills Area," $9,301,829.00 "," $950,407.87 "," $9,939,876.10 "," $1,265,689.91 "," $21,457,802.88 ",1608
2018-19,3647,Lakeland UHS," $10,923,399.00 "," $1,279,420.06 "," $1,891,352.37 "," $955,031.50 "," $15,049,202.93 ",706
2018-19,2912,Lancaster Community," $3,939,079.00 "," $853,263.53 "," $8,246,360.34 "," $345,561.65 "," $13,384,264.52 ",975
2018-19,2940,Laona," $1,932,021.00 "," $375,238.68 "," $1,590,963.40 "," $305,295.63 "," $4,203,518.71 ",218
2018-19,2961,Lena," $2,150,775.00 "," $302,289.62 "," $3,447,716.98 "," $253,369.76 "," $6,154,151.36 ",409
